"Dataset_ID","slice","Longitude","Latitude","MAAT_WAPLS","biome"
215,"1000",-6.433333,52.95,7.7,3
215,"2000",-6.433333,52.95,8.04,3
215,"3000",-6.433333,52.95,7.36666666666667,3
215,"4000",-6.433333,52.95,8.45,3
215,"5000",-6.433333,52.95,9.4,3
215,"6000",-6.433333,52.95,9.16666666666667,3
215,"7000",-6.433333,52.95,8.46,3
215,"9000",-6.433333,52.95,9.4,3
215,"10000",-6.433333,52.95,2.4,3
219,"0",-73.311111,45.543056,5.1,3
219,"1000",-73.311111,45.543056,5.4,3
219,"2000",-73.311111,45.543056,5.63333333333333,3
219,"3000",-73.311111,45.543056,5.7,3
219,"4000",-73.311111,45.543056,5.5,3
219,"5000",-73.311111,45.543056,6.45,3
219,"6000",-73.311111,45.543056,6.35,3
219,"7000",-73.311111,45.543056,6.25,3
219,"8000",-73.311111,45.543056,6.03333333333333,3
219,"9000",-73.311111,45.543056,6.15,3
219,"10000",-73.311111,45.543056,5.8,3
221,"0",-79.51,45.38,4.2,3
221,"1000",-79.51,45.38,5.23333333333333,3
221,"2000",-79.51,45.38,4.93333333333333,3
221,"3000",-79.51,45.38,5.825,3
221,"4000",-79.51,45.38,5.1,3
221,"5000",-79.51,45.38,5.3,3
221,"6000",-79.51,45.38,5.4,3
221,"7000",-79.51,45.38,6.13333333333333,3
221,"8000",-79.51,45.38,7.63333333333333,3
221,"9000",-79.51,45.38,5.46666666666667,3
221,"10000",-79.51,45.38,4.475,3
224,"0",-76.78,78.491667,-12.5,1
224,"1000",-76.78,78.491667,-13.3,1
224,"2000",-76.78,78.491667,-12.8,1
224,"3000",-76.78,78.491667,-12.95,1
224,"4000",-76.78,78.491667,-13.25,1
224,"5000",-76.78,78.491667,-12.8,1
224,"6000",-76.78,78.491667,-12.2,1
224,"7000",-76.78,78.491667,-11.95,1
224,"8000",-76.78,78.491667,-12.25,1
224,"9000",-76.78,78.491667,-12.1,1
224,"10000",-76.78,78.491667,-16.1666666666667,1
225,"2000",-10.308333,52.2,8.2,3
225,"3000",-10.308333,52.2,8.075,3
225,"4000",-10.308333,52.2,7.9,3
225,"5000",-10.308333,52.2,7.23333333333333,3
225,"6000",-10.308333,52.2,7.45,3
225,"7000",-10.308333,52.2,7.46666666666667,3
225,"8000",-10.308333,52.2,7.9,3
225,"9000",-10.308333,52.2,8.2,3
225,"10000",-10.308333,52.2,8.8,3
230,"5000",131.6,43.133333,3.5,3
230,"6000",131.6,43.133333,4.1,3
230,"7000",131.6,43.133333,6.1,3
230,"8000",131.6,43.133333,6.7,3
230,"9000",131.6,43.133333,6.7,3
230,"10000",131.6,43.133333,6.6,3
232,"0",-83.253889,30.622222,15.1,3
232,"1000",-83.253889,30.622222,15.1933333333333,3
232,"2000",-83.253889,30.622222,15.0454545454545,3
232,"3000",-83.253889,30.622222,15.9857142857143,3
232,"4000",-83.253889,30.622222,14.8666666666667,3
232,"5000",-83.253889,30.622222,14.6,3
232,"6000",-83.253889,30.622222,14.7333333333333,3
232,"7000",-83.253889,30.622222,14.25,3
232,"8000",-83.253889,30.622222,14.3,3
232,"9000",-83.253889,30.622222,12.45,3
234,"0",-119.008333,37.595833,5.3,3
234,"1000",-119.008333,37.595833,5.2625,3
234,"2000",-119.008333,37.595833,5.16,3
234,"3000",-119.008333,37.595833,4.5,3
234,"4000",-119.008333,37.595833,4.43333333333333,3
