"Dataset_ID","slice","Lat","Lon","MAT"
224,8500,78.491667,-76.78,-19.0574849849794
224,9000,78.491667,-76.78,-19.8574849849794
224,9500,78.491667,-76.78,-21.4574849849794
224,10000,78.491667,-76.78,-25.0574849849794
224,5000,78.491667,-76.78,-19.8574849849794
224,3500,78.491667,-76.78,-20.2574849849794
224,4000,78.491667,-76.78,-20.9574849849794
224,4500,78.491667,-76.78,-20.4574849849794
224,8000,78.491667,-76.78,-19.6074849849794
224,6000,78.491667,-76.78,-19.5574849849794
224,6500,78.491667,-76.78,-20.0574849849794
224,7000,78.491667,-76.78,-18.5574849849794
224,0,78.491667,-76.78,-19.8574849849794
232,0,30.622222,-83.253889,19.6371877098083
232,5000,30.622222,-83.253889,19.4871877098083
232,5500,30.622222,-83.253889,18.7371877098083
232,6000,30.622222,-83.253889,19.5371877098084
232,6500,30.622222,-83.253889,18.1371877098084
232,500,30.622222,-83.253889,19.8316321542528
232,1000,30.622222,-83.253889,19.578854376475
232,1500,30.622222,-83.253889,19.353854376475
232,2000,30.622222,-83.253889,19.8571877098084
232,2500,30.622222,-83.253889,20.5371877098084
232,3000,30.622222,-83.253889,20.4871877098083
232,3500,30.622222,-83.253889,19.0371877098084
232,4000,30.622222,-83.253889,19.5871877098083
232,4500,30.622222,-83.253889,18.4371877098084
232,8500,30.622222,-83.253889,16.9871877098084
232,7000,30.622222,-83.253889,19.4371877098083
232,7500,30.622222,-83.253889,19.5371877098084
